Sales Person;Geography;Product;Amount;Units
Barr Faughny;Canada;Manuka Honey Choco;8211;75
Ches Bonnell;Canada;After Nines;8435;42
Husein Augar;India;Orange Choco;8463;492
Gigi Bohling;New Zealand;White Choc;8813;21
Gunar Cockshoot;Australia;Baker's Choco Chips;8841;303
Ches Bonnell;India;85% Dark Bars;8862;189
Ram Mahesh;USA;Peanut Butter Cubes;8869;432
Brien Boise;UK;Smooth Sliky Salty;8890;210
Ram Mahesh;New Zealand;Manuka Honey Choco;9002;72
Husein Augar;Canada;70% Dark Bites;9051;57
Gunar Cockshoot;Canada;Mint Chip Choco;9198;36
Barr Faughny;UK;Orange Choco;9443;162
Husein Augar;Australia;Peanut Butter Cubes;9506;87
Carla Molina;Canada;Drinking Coco;9632;288
Brien Boise;UK;Drinking Coco;9660;27
Brien Boise;New Zealand;Raspberry Choco;9709;30
Ram Mahesh;Canada;Peanut Butter Cubes;9772;90
Ches Bonnell;New Zealand;After Nines;9835;207
Barr Faughny;New Zealand;Eclairs;9926;201
Curtice Advani;Canada;Almond Choco;10073;120
Ches Bonnell;Australia;70% Dark Bites;10129;312
Carla Molina;Canada;Choco Coated Almonds;10304;84
Carla Molina;Canada;Milk Bars;10311;231
Barr Faughny;Canada;Mint Chip Choco;11417;21
Husein Augar;Canada;Organic Choco Syrup;11522;204
Barr Faughny;New Zealand;Drinking Coco;11571;138
Ram Mahesh;USA;Choco Coated Almonds;12348;234
Oby Sorrel;UK;Peanut Butter Cubes;12950;30
Gigi Bohling;USA;Raspberry Choco;13391;201
Husein Augar;India;Caramel Stuffed Bars;14329;150
Gigi Bohling;India;Orange Choco;15610;339
Gigi Bohling;Canada;Mint Chip Choco;16184;39
